# ObsCore Keywords v1.1, Radio extension v1.0
#
# ObsCore_keyword		FITS_formatcode		Mandatory
'dataproduct_type'		A			yes
'calib_level'			I			yes
'obs_collection'		A			yes
'obs_id'			A			yes
'obs_publisher_did'		A			yes
'access_url'			A			yes
'access_format'			A			yes
'access_estsize'		A			yes
'target_name'			A			yes
's_ra'				D			yes
's_dec'				D			yes
's_fov'				D			yes
's_region'			A			yes
's_resolution'			D			yes
's_xel1'			J			yes
's_xel2'			J			yes
't_min'				D			yes
't_max'				D			yes
't_exptime'			D			yes
't_resolution'			D			yes
't_xel'				J			yes
'em_min'			D			yes
'em_max'			D			yes
'em_res_power'			D			yes
'em_xel'			J			yes
'o_ucd'				A			yes
'pol_states'			A			yes
'pol_xel'			J			yes
'facility_name'			A			yes
'instrument_name'		A			yes
's_resolution_min'		D			no
's_resolution_max'		D			no
's_fov_min'			D			no
's_fov_max'			D			no
's_maximum_angular_scale'	D			no
'f_min'				D			no
'f_max'				D			no
't_exp_min'			D			no
't_exp_max'			D			no
't_exp_mean'			D			no
'uv_distance_min'		D			no
'uv_distance_max'		D			no
'uv_distribution_ecc'		A			no
'uv_distribution_fill' 		A			no	
'instrument_ant_number'		I			no
'instrument_ant_min_dist'	A			no
'instrument_ant_max_dist'	A			no
'instrument_ant_diameter'	D			no
'instrument_feed'		I			no
'uv_distribution_map'		A			no
's_distribution_beam_dirty'	A			no
